Product,Category,Rating,Review,Platform,Date,Sentiment_score,Issue,RSI
Samsung Galaxy S23,Smartphone,3.0,not great wide executive strong every issue battery draining fast,Amazon,2024-02-15,0.0015,battery,0.41
Samsung Galaxy M14,Smartphone,5.0,worth it admit most time partner in,Amazon,2022-06-11,0.4019,software,0.26
Samsung Galaxy S23,Smartphone,1.0,very userfriendly interface,Flipkart,2023-08-24,0.0,software,0.56
Samsung Galaxy Tab S7 FE,Smartphone,3.0,not great issue camera quality is poor,Amazon,2024-01-11,-0.7502,camera,0.71008
Samsung Galaxy M53,Smartphone,4.0,good stock determine everybody property,Flipkart,2023-01-29,0.4404,none,0.135
Samsung Galaxy Tab A8,Smartphone,2.0,good east keep though look think,Flipkart,2022-05-23,0.4404,none,0.285
Samsung Galaxy S21 FE,Smartphone,4.0,good,Amazon,2022-04-04,0.4404,none,0.135
Samsung Galaxy Tab S7 FE,Smartphone,4.0,average peace beyond just above movie training kid,Amazon,2023-04-12,0.5423,none,0.135
Samsung Galaxy A34,Smartphone,2.0,worth it issue charging problem,Amazon,2023-08-16,-0.2023,battery,0.56592
Samsung Galaxy S23,Smartphone,5.0,nice product but a bit overpriced,Flipkart,2022-06-13,0.2263,none,0.06
Samsung Air Conditioner,Other,4.0,build quality feels premium,Amazon,2023-04-22,0.0,build_quality,0.335
Samsung Galaxy A54,Smartphone,4.0,waste of money system technology success sport lose manage,Amazon,2022-07-26,-0.2023,software,0.41592
Samsung Galaxy S21 FE,Smartphone,3.0,not great fine remember music network anything draw issue battery draining fast,Flipkart,2024-02-18,-0.5975,battery,0.649
Samsung Soundbar,Other,5.0,very durable and reliable,Flipkart,2023-07-24,0.0,none,0.06
Samsung Galaxy Book 3,Smartphone,2.0,average,Flipkart,2024-07-17,0.0,none,0.285
Samsung Galaxy S23,Smartphone,4.0,not great town conference upon opportunity impact,Amazon,2024-01-18,-0.1265,none,0.1856
Samsung Galaxy S22,Smartphone,5.0,excellent hit culture few not try where general,Amazon,2022-11-30,0.5719,none,0.06
Samsung Galaxy Tab S7 FE,Smartphone,4.0,excellent test ok different issue scene season,Amazon,2024-01-29,0.7096,none,0.135
Samsung Galaxy M53,Smartphone,2.0,waste of money issue battery draining fast,Flipkart,2023-12-29,-0.4215,battery,0.6536
Samsung Galaxy S22,Smartphone,2.0,excellent issue charging problem,Amazon,2023-03-06,0.25,battery,0.485
Samsung Galaxy A34,Smartphone,3.0,average how the suffer wait,Amazon,2023-07-01,-0.5423,none,0.42692
Samsung Buds 2,Accessories,5.0,not great course event community close relate age phone,Amazon,2022-05-27,-0.5096,software,0.46384
Samsung Crystal UHD TV,TV,3.0,love the camera quality,Flipkart,2022-12-17,0.6369,camera,0.41
Samsung Air Conditioner,Other,2.0,build quality feels premium,Amazon,2024-12-29,0.0,build_quality,0.485
Samsung Washing Machine,Other,2.0,not as expected returning it,Amazon,2023-05-17,0.0,none,0.285
Samsung Galaxy Tab S7 FE,Smartphone,5.0,average may audience scientist unit their less,Amazon,2022-12-01,0.0,none,0.06
Samsung Charger 25W,Accessories,3.0,average former light task present might difference true music issue charging problem,Amazon,2024-08-04,0.0258,battery,0.41
Samsung Charger 25W,Accessories,3.0,bad live relationship like concern issue charging problem,Flipkart,2024-02-17,-0.5719,battery,0.63876
Samsung Galaxy Tab A8,Smartphone,4.0,good,Amazon,2023-07-07,0.4404,none,0.135
Samsung Galaxy A54,Smartphone,3.0,good adult share animal trial interesting room husband look,Flipkart,2023-03-26,0.7783,none,0.21
Samsung Galaxy Buds2,Smartphone,3.0,amazing display quality,Flipkart,2023-10-27,0.5859,display,0.41
Samsung Buds Live,Accessories,4.0,bad wind everyone fire resource many,Amazon,2022-04-25,-0.7096,general_issue,0.6188400000000001
Samsung Galaxy S23,Smartphone,1.0,good issue battery draining fast,Amazon,2023-04-15,0.4404,battery,0.56
Samsung Galaxy Tab A8,Smartphone,5.0,average,Amazon,2022-03-07,0.0,none,0.06
Samsung Galaxy A34,Smartphone,3.0,good benefit safe special buy commercial issue slow performance,Flipkart,2023-10-09,0.8885,performance,0.41
Samsung Galaxy Tab A8,Smartphone,5.0,bad capital summer country much,Flipkart,2024-04-01,-0.5423,general_issue,0.47692
Samsung Crystal UHD TV,TV,3.0,nice product but a bit overpriced,Amazon,2023-07-03,0.2263,none,0.21
Samsung Galaxy Z Fold5,Smartphone,1.0,speaker quality is amazing,Amazon,2022-05-16,0.5859,sound,0.56
Samsung Galaxy M14,Smartphone,4.0,bad easy card chair else program same two,Flipkart,2023-03-09,-0.1531,general_issue,0.39624
Samsung Refrigerator,Other,2.0,love the camera quality,Flipkart,2023-10-07,0.6369,camera,0.485
Samsung Soundbar,Other,1.0,speaker quality is amazing,Amazon,2023-03-12,0.5859,sound,0.56
Samsung Galaxy M53,Smartphone,1.0,waste of money college carry rise personal test production,Amazon,2024-10-19,-0.4215,general_issue,0.7286000000000001
Samsung Galaxy A54,Smartphone,3.0,bad,Flipkart,2024-03-21,-0.5423,general_issue,0.6269200000000001
Samsung Galaxy A34,Smartphone,4.0,not great enjoy including look glass system finish note seek,Flipkart,2024-07-28,-0.7115,none,0.4196
Samsung Galaxy A34,Smartphone,4.0,bad,Amazon,2022-10-20,-0.5423,general_issue,0.55192
Samsung Buds 2,Accessories,2.0,bad hotel mother order couple certainly science two save issue display flickering,Flipkart,2023-06-27,0.2732,heating,0.485
Samsung Galaxy A34,Smartphone,3.0,excellent issue slow performance,Amazon,2022-10-13,0.5719,performance,0.41
Samsung Galaxy Z Fold5,Smartphone,1.0,excellent product very satisfied,Flipkart,2023-05-21,0.7778,none,0.36
Samsung Galaxy Tab A8,Smartphone,4.0,worth it several base point finally someone whole,Amazon,2023-06-23,0.2263,none,0.135
Samsung Galaxy Tab S7 FE,Smartphone,5.0,bad,Flipkart,2024-05-27,-0.5423,general_issue,0.47692
Samsung Buds Live,Accessories,3.0,waste of money issue overheating issue,Flipkart,2024-03-28,-0.4215,heating,0.5786
Samsung Galaxy Book 2,Smartphone,4.0,good,Flipkart,2024-01-12,0.4404,none,0.135
Samsung Galaxy S23,Smartphone,1.0,average spend nor save tonight administration issue battery draining fast,Amazon,2023-03-26,-0.3875,battery,0.7150000000000001
Samsung Galaxy A14,Smartphone,3.0,good education meet fly treatment,Amazon,2022-10-11,0.4404,none,0.21
Samsung Galaxy A54,Smartphone,3.0,average fight relate technology mrs happen better issue camera quality is poor,Amazon,2024-11-09,-0.4215,camera,0.5786
Samsung Galaxy Z Fold5,Smartphone,2.0,delivery was delayed but the product is great,Flipkart,2024-10-07,0.7351,performance,0.485
Samsung Buds Live,Accessories,5.0,average seek reality so production,Flipkart,2022-07-06,0.0,none,0.06
Samsung Galaxy A34,Smartphone,3.0,bad military expect above step avoid design issue display flickering,Flipkart,2022-04-07,-0.6908,display,0.68632
Samsung Galaxy S22,Smartphone,2.0,not great class this someone number hotel memory size,Amazon,2022-08-13,-0.4577,heating,0.66808
Samsung Galaxy S21 FE,Smartphone,2.0,worth it onto authority city between quality time issue battery draining fast,Flipkart,2022-11-10,0.296,battery,0.485
Samsung Galaxy Book 3,Smartphone,4.0,worth it,Flipkart,2022-11-24,0.2263,none,0.135
Samsung Galaxy S21 FE,Smartphone,5.0,not great because away make talk page turn every,Flipkart,2024-05-14,-0.5096,none,0.26384
Samsung Galaxy M53,Smartphone,4.0,excellent though give civil spend mouth must,Amazon,2022-05-11,0.5719,none,0.135
Samsung Galaxy S22,Smartphone,4.0,worth it,Flipkart,2024-02-28,0.2263,none,0.135
Samsung Buds Live,Accessories,2.0,bad,Flipkart,2024-02-21,-0.5423,general_issue,0.7019200000000001
Samsung Galaxy Tab S7 FE,Smartphone,3.0,not great site level commercial she nothing,Flipkart,2024-08-16,-0.5096,none,0.41384
Samsung Air Conditioner,Other,1.0,speaker quality is amazing,Amazon,2024-12-19,0.5859,sound,0.56
Samsung Galaxy M14,Smartphone,4.0,average enough book sort goal send nature,Flipkart,2023-05-30,0.0,none,0.135
Samsung Galaxy Book 2,Smartphone,4.0,average out song nor,Flipkart,2022-01-24,0.0,none,0.135
Samsung Galaxy S21 FE,Smartphone,3.0,good dog enjoy worker sea minute stop them significant issue camera quality is poor,Amazon,2022-08-23,0.3818,camera,0.41
Samsung Galaxy S22,Smartphone,4.0,bad form book lead full coach just condition,Amazon,2023-07-01,-0.5423,general_issue,0.55192
Samsung Galaxy S21 FE,Smartphone,5.0,average some rest game understand tonight method under,Flipkart,2023-11-28,0.0,none,0.06
Samsung Galaxy S23,Smartphone,3.0,bad wall prevent before magazine order likely,Amazon,2022-08-17,-0.5267,general_issue,0.6206800000000001
Samsung Galaxy S23,Smartphone,5.0,average likely wife hotel inside try let,Amazon,2023-08-25,0.0,heating,0.26
Samsung Galaxy M34,Smartphone,4.0,worth it hundred majority activity,Amazon,2024-06-09,0.2263,none,0.135
Samsung Galaxy Tab A8,Smartphone,1.0,waste of money issue charging problem,Flipkart,2022-11-20,-0.6705,battery,0.8282
Samsung Galaxy Tab A8,Smartphone,5.0,average,Flipkart,2024-07-18,0.0,none,0.06
Samsung Galaxy M14,Smartphone,4.0,not great heavy young national,Flipkart,2022-01-07,-0.5096,none,0.33884
Samsung Galaxy Tab S7 FE,Smartphone,4.0,waste of money decision various but ago,Amazon,2023-06-24,-0.2263,general_issue,0.42552
Samsung Galaxy S23,Smartphone,3.0,good alone suggest again issue charging problem,Amazon,2024-10-22,-0.2023,battery,0.49092
Samsung Galaxy Watch6,Smartphone,3.0,featurepacked and smooth experience,Amazon,2023-01-01,0.0,none,0.21
Samsung Buds 2,Accessories,4.0,not great success positive however free require check feel,Amazon,2024-11-05,-0.711,software,0.6194
Samsung Galaxy M14,Smartphone,4.0,bad budget story culture ok much throw,Amazon,2022-08-06,-0.3182,general_issue,0.46228
Samsung Galaxy Book 2,Smartphone,1.0,good hospital recognize low issue camera quality is poor,Amazon,2023-09-04,-0.3182,camera,0.6872800000000001
Samsung Galaxy M34,Smartphone,3.0,average condition scene treatment really case expect issue slow performance,Amazon,2024-11-05,0.0,performance,0.41
Samsung Buds Live,Accessories,3.0,bad issue display flickering,Flipkart,2023-02-12,-0.5423,display,0.6269200000000001
Samsung Galaxy A34,Smartphone,5.0,waste of money concern draw wind author,Amazon,2022-11-10,-0.4215,general_issue,0.4286
Samsung Galaxy A14,Smartphone,2.0,not great,Flipkart,2024-02-05,-0.5096,none,0.48884
Samsung Galaxy Book 3,Smartphone,4.0,good case series result,Flipkart,2022-11-27,0.4404,none,0.135
Samsung Galaxy Tab A8,Smartphone,5.0,average fight next oil property their area,Flipkart,2024-12-22,-0.3818,none,0.21272
Samsung Galaxy Book 2,Smartphone,1.0,not great,Amazon,2022-01-02,-0.5096,none,0.5638400000000001
Samsung Charger 25W,Accessories,3.0,average travel usually product catch issue battery draining fast,Flipkart,2023-10-26,0.0,battery,0.41
Samsung Charger 25W,Accessories,3.0,bad however door lead box world interesting issue display flickering,Flipkart,2024-09-27,-0.2023,display,0.49092
Samsung Galaxy M34,Smartphone,4.0,waste of money few measure conference art,Flipkart,2022-02-09,-0.4215,general_issue,0.5036
Samsung Galaxy Tab A8,Smartphone,3.0,worth it produce land adult off better,Amazon,2022-08-18,0.5859,none,0.21
Samsung Galaxy Z Fold5,Smartphone,5.0,performance is topnotch,Flipkart,2024-01-14,0.0,none,0.06
Samsung Galaxy A34,Smartphone,2.0,waste of money issue charging problem,Amazon,2023-09-22,-0.6705,battery,0.7532000000000001
Samsung Galaxy S21 FE,Smartphone,4.0,good space law build,Flipkart,2023-05-06,0.4404,build_quality,0.335
Samsung Buds Live,Accessories,4.0,good,Flipkart,2022-04-29,0.4404,none,0.135
Samsung Galaxy S21 FE,Smartphone,3.0,good night work trial water with like issue display flickering,Amazon,2023-05-09,0.6597,display,0.41
Samsung Galaxy Book 2,Smartphone,4.0,excellent test congress shake seven,Flipkart,2022-06-11,0.4588,none,0.135
Samsung Galaxy Book 3,Smartphone,5.0,bad official group new every around choice,Flipkart,2022-06-25,-0.5423,general_issue,0.47692
Samsung Galaxy A14,Smartphone,3.0,excellent provide agreement left throughout former issue charging problem,Amazon,2024-09-22,0.6369,battery,0.41
Samsung Galaxy M53,Smartphone,5.0,excellent white significant allow degree,Flipkart,2022-05-22,0.7506,none,0.06
Samsung Galaxy Tab A8,Smartphone,4.0,not great continue treatment amount heavy,Amazon,2024-12-26,-0.5096,none,0.33884
Samsung Galaxy Book 3,Smartphone,5.0,waste of money together reveal term book,Amazon,2022-09-15,-0.4215,general_issue,0.4286
Samsung Galaxy M53,Smartphone,3.0,good season place stock situation later before,Amazon,2022-09-20,0.4404,none,0.21
Samsung Galaxy Book 2,Smartphone,1.0,waste of money issue slow performance,Amazon,2024-08-31,-0.4215,performance,0.7286000000000001
Samsung Galaxy Book 2,Smartphone,3.0,good throughout organization its white travel focus,Flipkart,2022-12-05,0.4404,camera,0.41
Samsung Galaxy M34,Smartphone,5.0,good,Flipkart,2023-06-27,0.4404,none,0.06
Samsung Galaxy Book 3,Smartphone,4.0,excellent blue word those forget,Flipkart,2024-12-16,0.4215,software,0.335
Samsung Galaxy Tab S7 FE,Smartphone,1.0,good spring stage talk house attorney kind rate population issue slow performance,Amazon,2024-05-16,0.743,performance,0.56
Samsung Galaxy M34,Smartphone,4.0,not great,Amazon,2023-03-10,-0.5096,none,0.33884
Samsung Galaxy M53,Smartphone,4.0,average,Flipkart,2023-02-16,0.0,none,0.135
Samsung Galaxy A34,Smartphone,4.0,waste of money much something because education along,Amazon,2023-10-01,-0.4215,general_issue,0.5036
Samsung Galaxy Tab A8,Smartphone,4.0,bad,Amazon,2024-03-28,-0.5423,general_issue,0.55192
Samsung Galaxy S23,Smartphone,3.0,average nor piece example other white brother,Flipkart,2024-02-04,0.0,none,0.21
Samsung Galaxy A34,Smartphone,5.0,average course director marriage international travel kid animal,Flipkart,2024-06-16,0.0,none,0.06
Samsung Galaxy Book 2,Smartphone,4.0,waste of money culture give church network realize guess raise,Flipkart,2024-11-25,-0.4215,connectivity,0.5036
Samsung Galaxy M53,Smartphone,2.0,bad nice deal follow record issue battery draining fast,Amazon,2024-07-13,-0.1779,battery,0.55616
Samsung Galaxy M34,Smartphone,3.0,not great decide food however job window western want,Flipkart,2022-09-05,-0.4577,none,0.39308
Samsung Galaxy M14,Smartphone,4.0,excellent,Amazon,2023-05-23,0.5719,none,0.135
Samsung Galaxy S23,Smartphone,5.0,average something budget finish travel,Flipkart,2023-04-06,0.0,none,0.06
Samsung Galaxy S22,Smartphone,3.0,love the camera quality,Amazon,2022-05-12,0.6369,camera,0.41
Samsung Charger 25W,Accessories,5.0,good vote dark two usually necessary yourself,Flipkart,2023-11-24,0.4404,none,0.06
Samsung Charger 25W,Accessories,2.0,average page the somebody none team nearly space issue charging problem,Flipkart,2022-02-13,-0.4019,battery,0.6457600000000001
Samsung Galaxy Z Fold5,Smartphone,3.0,heats up sometimes during heavy usage,Flipkart,2023-04-17,0.0,heating,0.41
Samsung Galaxy M14,Smartphone,4.0,average,Amazon,2023-03-28,0.0,none,0.135
Samsung Galaxy Watch6,Smartphone,3.0,performance is topnotch,Amazon,2022-01-15,0.0,none,0.21
Samsung Galaxy Watch6,Smartphone,2.0,heats up sometimes during heavy usage,Amazon,2022-05-26,0.0,heating,0.485
Samsung Buds 2,Accessories,5.0,excellent mr we security always economic,Flipkart,2022-05-01,0.7269,sound,0.26
Samsung Galaxy Book 2,Smartphone,1.0,good,Amazon,2023-04-14,0.4404,none,0.36
Samsung Galaxy Tab A8,Smartphone,3.0,excellent traditional service news production,Amazon,2022-05-19,0.5719,none,0.21
Samsung Galaxy S23,Smartphone,1.0,waste of money,Flipkart,2022-03-06,-0.4215,general_issue,0.7286000000000001
Samsung Charger 25W,Accessories,3.0,average place card find manager garden,Amazon,2023-11-08,0.0,none,0.21
Samsung Charger 25W,Accessories,3.0,worth it,Flipkart,2022-05-26,0.2263,none,0.21
Samsung Galaxy Tab S7 FE,Smartphone,4.0,worth it finally buy scene media agency president another actually,Amazon,2024-11-18,0.2263,none,0.135
Samsung Galaxy S23,Smartphone,5.0,bad tell public free control hundred window another music,Amazon,2023-05-03,-0.0516,general_issue,0.28064
Samsung Galaxy S23,Smartphone,1.0,performance is topnotch,Flipkart,2023-07-25,0.0,none,0.36
Samsung Galaxy S21 FE,Smartphone,1.0,average stage four along suddenly people prove strategy,Flipkart,2024-09-21,0.0,none,0.36
Samsung Galaxy A54,Smartphone,5.0,average play effort practice although center really consider condition,Amazon,2023-03-15,0.34,none,0.06
Samsung Galaxy A14,Smartphone,5.0,bad with one water truth early film result,Flipkart,2022-09-28,-0.296,general_issue,0.3784
Samsung Buds 2,Accessories,4.0,excellent black machine black something,Amazon,2024-08-26,0.5719,none,0.135
Samsung Galaxy M34,Smartphone,2.0,worth it most add visit organization say,Amazon,2023-05-13,0.2263,software,0.485
Samsung Galaxy Book 2,Smartphone,2.0,average interesting share whose left matter,Amazon,2024-08-26,0.6124,software,0.485
Samsung Galaxy A54,Smartphone,4.0,average himself show suggest catch,Flipkart,2024-04-13,0.0,none,0.135
Samsung Galaxy A54,Smartphone,5.0,bad grow strategy form follow least moment,Amazon,2023-01-25,-0.5423,general_issue,0.47692
Samsung Galaxy Tab A8,Smartphone,2.0,excellent issue battery draining fast,Amazon,2022-07-13,0.5719,battery,0.485
Samsung Washing Machine,Other,5.0,excellent product very satisfied,Amazon,2022-07-18,0.7778,none,0.06
Samsung Galaxy A54,Smartphone,4.0,average,Amazon,2024-06-01,0.0,none,0.135
Samsung Galaxy M34,Smartphone,4.0,worth it know usually degree person total,Flipkart,2023-12-27,0.2263,none,0.135
Samsung Galaxy S23,Smartphone,4.0,bad account office rise high others vote until toward,Flipkart,2024-05-17,-0.5423,general_issue,0.55192
Samsung Buds 2,Accessories,4.0,bad threat career ago war,Amazon,2024-04-21,-0.8957,general_issue,0.6932800000000001
Samsung Galaxy M34,Smartphone,3.0,good note fund kind war many,Amazon,2024-08-14,0.34,none,0.21
Samsung Soundbar,Other,3.0,featurepacked and smooth experience,Amazon,2022-04-21,0.0,none,0.21
Samsung Galaxy S23,Smartphone,4.0,bad,Amazon,2022-07-21,-0.5423,general_issue,0.55192
Samsung Galaxy A54,Smartphone,3.0,not worth the price,Flipkart,2022-05-05,-0.1695,none,0.2778
Samsung Galaxy A54,Smartphone,2.0,software updates are slow,Amazon,2024-04-04,0.0,performance,0.485
Samsung Galaxy M34,Smartphone,4.0,bad summer few something along,Flipkart,2023-11-26,-0.5423,general_issue,0.55192
Samsung Buds 2,Accessories,2.0,good family attack hot recognize address tax,Amazon,2022-08-12,-0.0516,heating,0.50564
Samsung Galaxy S21 FE,Smartphone,4.0,good,Amazon,2023-05-25,0.4404,none,0.135
Samsung Galaxy M53,Smartphone,4.0,not great,Flipkart,2023-01-28,-0.5096,none,0.33884
Samsung Buds Live,Accessories,4.0,average population force fast open hot,Amazon,2023-01-25,0.0,heating,0.335
Samsung Refrigerator,Other,2.0,amazing display quality,Amazon,2024-07-07,0.5859,display,0.485
Samsung Galaxy A34,Smartphone,5.0,good evidence guy list difficult discuss event argue,Amazon,2022-10-15,-0.25,none,0.16
Samsung Galaxy Tab S7 FE,Smartphone,5.0,waste of money wide build fine than report send,Amazon,2024-05-14,-0.25,build_quality,0.36
Samsung Galaxy A34,Smartphone,4.0,worth it far into message language site,Amazon,2023-01-11,0.2263,none,0.135
Samsung Buds Live,Accessories,4.0,average human authority whatever couple start rule benefit,Amazon,2023-07-25,0.5106,none,0.135
Samsung Galaxy Tab S7 FE,Smartphone,5.0,worth it decide opportunity once us machine,Amazon,2024-08-05,0.5719,none,0.06
Samsung Galaxy Book 3,Smartphone,4.0,worth it available take pretty door join discuss near,Flipkart,2023-05-27,0.743,none,0.135
Samsung Galaxy Book 3,Smartphone,2.0,average really fall pretty let physical small result,Flipkart,2022-06-04,0.539,none,0.285
Samsung Galaxy Book 2,Smartphone,4.0,average quickly interview explain like,Amazon,2024-06-26,0.3612,software,0.335
Samsung Galaxy Tab S7 FE,Smartphone,4.0,bad factor culture decade prevent will specific stock,Amazon,2022-07-20,-0.5267,general_issue,0.5456799999999999
Samsung Galaxy Book 3,Smartphone,5.0,good none budget per city,Flipkart,2022-04-14,0.4404,none,0.06
Samsung Galaxy A54,Smartphone,4.0,not great,Flipkart,2022-01-31,-0.5096,none,0.33884
Samsung Galaxy M34,Smartphone,5.0,average organization side later rock expert respond writer career,Amazon,2022-07-11,0.0,none,0.06
Samsung Galaxy M14,Smartphone,2.0,good item cell well begin,Amazon,2023-04-30,0.6124,none,0.285
Samsung Galaxy S22,Smartphone,3.0,delivery was delayed but the product is great,Flipkart,2022-12-07,0.7351,performance,0.41
Samsung Galaxy Tab A8,Smartphone,2.0,average world new before produce sure street,Amazon,2024-04-12,0.3182,none,0.285
Samsung Galaxy A14,Smartphone,1.0,bad top stand carry tough office employee until issue slow performance,Amazon,2024-09-21,-0.4939,performance,0.75756
Samsung Galaxy A14,Smartphone,3.0,average goal try guess heart receive something,Flipkart,2024-09-12,0.0,none,0.21
Samsung Galaxy M53,Smartphone,4.0,worth it woman week even north what character cultural,Amazon,2023-03-14,0.2263,none,0.135
Samsung Galaxy A14,Smartphone,2.0,excellent suggest future civil smile loss human,Flipkart,2024-04-01,0.5994,software,0.485
Samsung Galaxy Book 2,Smartphone,5.0,waste of money,Flipkart,2022-05-01,-0.4215,general_issue,0.4286
Samsung Galaxy Book 2,Smartphone,5.0,good discover cut former seven dream,Amazon,2022-12-04,0.4215,none,0.06
Samsung Galaxy A54,Smartphone,3.0,waste of money,Flipkart,2024-02-16,-0.4215,general_issue,0.5786
Samsung Galaxy S22,Smartphone,5.0,waste of money,Amazon,2022-01-05,-0.4215,general_issue,0.4286
Samsung Galaxy S23,Smartphone,5.0,worth it care a since seem heavy congress,Amazon,2024-03-10,0.6249,none,0.06
Samsung Galaxy M53,Smartphone,3.0,worth it everybody from natural writer fly image issue slow performance,Flipkart,2023-06-28,0.5267,performance,0.41
Samsung Galaxy M14,Smartphone,4.0,worth it somebody it forward watch rule push more learn,Amazon,2024-07-20,0.2263,none,0.135
Samsung Charger 25W,Accessories,5.0,average health language explain money cost trouble social,Amazon,2023-08-08,-0.4019,software,0.42076
Samsung Buds 2,Accessories,4.0,waste of money safe public now notice billion bag finish finish,Flipkart,2024-05-16,0.0258,general_issue,0.335
Samsung Buds 2,Accessories,5.0,average near international design positive police part imagine,Amazon,2024-09-23,0.5574,software,0.26
Samsung Galaxy M53,Smartphone,4.0,not great size smile cut modern step themselves west,Amazon,2022-11-14,-0.7582,none,0.43828
Samsung Galaxy S22,Smartphone,2.0,not great stop address however fall state firm black issue charging problem,Flipkart,2023-01-24,-0.6256,battery,0.7352400000000001
Samsung Galaxy M53,Smartphone,5.0,waste of money kind environmental final hand that long,Flipkart,2023-08-31,0.5859,general_issue,0.26
Samsung Galaxy S22,Smartphone,3.0,average official high without store,Amazon,2023-03-22,0.0,none,0.21
Samsung Galaxy A34,Smartphone,4.0,average too mind explain allow still,Flipkart,2022-04-30,0.2263,none,0.135
